,confidence,company_name,company_url,instagram,facebook,twitter
0,high,"Morton Salt, Inc.",http://www.mortonsalt.com,https://www.instagram.com/mortonsalt/,https://www.facebook.com/MortonSalt,https://twitter.com/EamesUnofficial
1,high,"Land O'Lakes, Inc.",http://www.landolakes.com,https://www.instagram.com/landolakesktchn/,https://www.facebook.com/pg/LandOLakes/posts/,https://twitter.com/LandOLakesInc/status/1050691381872607233
